dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, 1, -1), (-1, -1, -1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, -1, -1j, 1), ((-0-1j), -1, 1, -1j), ((-0-1j), 1j, 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, 1, -1), (-1, -1, -1, -1), (-1, 1, -1, -1)] ((1, 1, 1, 1), (1j, -1, -1j, 1), ((-0-1j), -1, 1, 1j), ((-0-1j), 1j, -1, -1))
dts=12 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, 1, 1, 1), (-1, 1, 1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, 1, -1, -1j), ((-0-1j), 1j, 1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, 1, 1, -1), (-1, 1, -1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, 1, -1, 1j), ((-0-1j), 1j, -1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, 1, -1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, 1, 1, -1j), ((-0-1j), 1j, 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, 1, -1, -1), (-1, 1, -1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, 1, 1, 1j), ((-0-1j), 1j, -1, -1))
dts=12 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, -1, 1, 1), (1, 1, 1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, -1, -1, -1j), (1j, 1j, 1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, -1, 1, -1), (1, 1, -1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, -1, -1, 1j), (1j, 1j, -1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, -1, -1, 1), (1, 1, 1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, -1, 1, -1j), (1j, 1j, 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (1, -1, -1, -1), (1, 1, -1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), (1j, -1, 1, 1j), (1j, 1j, -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, 1, 1, 1), (-1, -1, 1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), 1, -1, -1j), ((-0-1j), (-0-1j), 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, 1, 1, -1), (-1, -1, -1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), 1, -1, 1j), ((-0-1j), (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, 1, -1, 1), (-1, -1, 1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), 1, 1, -1j), ((-0-1j), (-0-1j), 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, 1, -1, -1), (-1, -1, -1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), 1, 1, 1j), ((-0-1j), (-0-1j), -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, -1, 1, 1), (1, -1, 1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), -1, -1, -1j), (1j, (-0-1j), 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, -1, 1, -1), (1, -1, -1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), -1, -1, 1j), (1j, (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, -1, -1, 1), (1, -1, 1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), -1, 1, -1j), (1j, (-0-1j), 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, 1), (-1, -1, -1, -1), (1, -1, -1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, -1), ((-0-1j), -1, 1, 1j), (1j, (-0-1j), -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (1, 1, 1, 1), (-1, -1, 1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), (1j, 1, -1, -1j), ((-0-1j), (-0-1j), 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (1, 1, -1, -1), (-1, -1, -1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), (1j, 1, 1, 1j), ((-0-1j), (-0-1j), -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (1, -1, 1, -1), (1, -1, -1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), (1j, -1, -1, 1j), (1j, (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (1, -1, -1, 1), (1, -1, 1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), (1j, -1, 1, -1j), (1j, (-0-1j), 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (-1, 1, 1, -1), (-1, 1, -1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), ((-0-1j), 1, -1, 1j), ((-0-1j), 1j, -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (-1, 1, -1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), ((-0-1j), 1, 1, -1j), ((-0-1j), 1j, 1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (-1, -1, 1, 1), (1, 1, 1, 1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), ((-0-1j), -1, -1, -1j), (1j, 1j, 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, 1, -1, -1), (-1, -1, -1, -1), (1, 1, -1, -1)] ((1, 1, 1, 1), (1j, -1, 1j, 1), ((-0-1j), -1, 1, 1j), (1j, 1j, -1, -1))
dts=12 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, 1, 1, 1), (1, 1, 1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, 1, -1, -1j), (1j, 1j, 1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, 1, 1, -1), (1, 1, -1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, 1, -1, 1j), (1j, 1j, -1, -1))
dts=12 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, 1, -1, 1), (1, 1, 1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, 1, 1, -1j), (1j, 1j, 1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, 1, -1, -1), (1, 1, -1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, 1, 1, 1j), (1j, 1j, -1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, -1, 1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, -1, -1, -1j), ((-0-1j), 1j, 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, -1, 1, -1), (-1, 1, -1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, -1, -1, 1j), ((-0-1j), 1j, -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, -1, -1, 1), (-1, 1, 1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, -1, 1, -1j), ((-0-1j), 1j, 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (1, -1, -1, -1), (-1, 1, -1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), (1j, -1, 1, 1j), ((-0-1j), 1j, -1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, 1, 1, 1), (1, -1, 1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), 1, -1, -1j), (1j, (-0-1j), 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, 1, 1, -1), (1, -1, -1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), 1, -1, 1j), (1j, (-0-1j), -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, 1, -1, 1), (1, -1, 1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), 1, 1, -1j), (1j, (-0-1j), 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, 1, -1, -1), (1, -1, -1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), 1, 1, 1j), (1j, (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, -1, 1, 1), (-1, -1, 1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), -1, -1, -1j), ((-0-1j), (-0-1j), 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, -1, 1, -1), (-1, -1, -1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), -1, -1, 1j), ((-0-1j), (-0-1j), -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, -1, -1, 1), (-1, -1, 1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), -1, 1, -1j), ((-0-1j), (-0-1j), 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, 1), (-1, -1, -1, -1), (-1, -1, -1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, -1), ((-0-1j), -1, 1, 1j), ((-0-1j), (-0-1j), -1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (1, 1, 1, 1), (1, -1, 1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), (1j, 1, -1, -1j), (1j, (-0-1j), 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (1, 1, -1, -1), (1, -1, -1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), (1j, 1, 1, 1j), (1j, (-0-1j), -1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (1, -1, 1, -1), (-1, -1, -1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), (1j, -1, -1, 1j), ((-0-1j), (-0-1j), -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (1, -1, -1, 1), (-1, -1, 1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), (1j, -1, 1, -1j), ((-0-1j), (-0-1j), 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (-1, 1, 1, -1), (1, 1, -1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), ((-0-1j), 1, -1, 1j), (1j, 1j, -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (-1, 1, -1, 1), (1, 1, 1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), ((-0-1j), 1, 1, -1j), (1j, 1j, 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (-1, -1, 1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), ((-0-1j), -1, -1, -1j), ((-0-1j), 1j, 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, 1, -1), (-1, -1, -1, -1), (-1, 1, -1, 1)] ((1, 1, 1, 1), (1j, 1, -1j, 1), ((-0-1j), -1, 1, 1j), ((-0-1j), 1j, -1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (1, 1, 1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), (1j, 1, -1, -1j), ((-0-1j), 1j, 1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (1, 1, -1, -1), (-1, 1, -1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), (1j, 1, 1, 1j), ((-0-1j), 1j, -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (1, -1, 1, -1), (1, 1, -1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), (1j, -1, -1, 1j), (1j, 1j, -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (1, -1, -1, 1), (1, 1, 1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), (1j, -1, 1, -1j), (1j, 1j, 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (-1, 1, 1, -1), (-1, -1, -1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), ((-0-1j), 1, -1, 1j), ((-0-1j), (-0-1j), -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (-1, 1, -1, 1), (-1, -1, 1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), ((-0-1j), 1, 1, -1j), ((-0-1j), (-0-1j), 1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (-1, -1, 1, 1), (1, -1, 1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), ((-0-1j), -1, -1, -1j), (1j, (-0-1j), 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, 1), (-1, -1, -1, -1), (1, -1, -1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, -1), ((-0-1j), -1, 1, 1j), (1j, (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, 1, 1, 1), (-1, -1, 1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, 1, -1, -1j), ((-0-1j), (-0-1j), 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, 1, 1, -1), (-1, -1, -1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, 1, -1, 1j), ((-0-1j), (-0-1j), -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, 1, -1, 1), (-1, -1, 1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, 1, 1, -1j), ((-0-1j), (-0-1j), 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, 1, -1, -1), (-1, -1, -1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, 1, 1, 1j), ((-0-1j), (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, -1, 1, 1), (1, -1, 1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, -1, -1, -1j), (1j, (-0-1j), 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, -1, 1, -1), (1, -1, -1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, -1, -1, 1j), (1j, (-0-1j), -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, -1, -1, 1), (1, -1, 1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, -1, 1, -1j), (1j, (-0-1j), 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (1, -1, -1, -1), (1, -1, -1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), (1j, -1, 1, 1j), (1j, (-0-1j), -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, 1, 1, 1), (-1, 1, 1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), 1, -1, -1j), ((-0-1j), 1j, 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, 1, 1, -1), (-1, 1, -1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), 1, -1, 1j), ((-0-1j), 1j, -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, 1, -1, 1), (-1, 1, 1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), 1, 1, -1j), ((-0-1j), 1j, 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, 1, -1, -1), (-1, 1, -1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), 1, 1, 1j), ((-0-1j), 1j, -1, 1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, -1, 1, 1), (1, 1, 1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), -1, -1, -1j), (1j, 1j, 1, -1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, -1, 1, -1), (1, 1, -1, -1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), -1, -1, 1j), (1j, 1j, -1, -1))
dts=4 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, -1, -1, 1), (1, 1, 1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), -1, 1, -1j), (1j, 1j, 1, 1))
dts=0 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (1, -1, -1, -1), (-1, -1, -1, -1), (1, 1, -1, 1)] ((1, 1, 1, 1), (1j, 1, 1j, 1), ((-0-1j), -1, 1, 1j), (1j, 1j, -1, 1))
dts=12 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (-1, 1, 1, 1), (1, 1, 1, 1), (1, 1, -1, 1)] ((1, 1, 1, 1), ((-0-1j), -1, -1j, -1), (1j, 1, -1, -1j), (1j, 1j, -1, 1))
dts=12 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (-1, 1, 1, 1), (1, 1, 1, -1), (1, 1, 1, 1)] ((1, 1, 1, 1), ((-0-1j), -1, -1j, -1), (1j, 1, -1, 1j), (1j, 1j, 1, 1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (-1, 1, 1, 1), (1, 1, -1, 1), (1, 1, -1, -1)] ((1, 1, 1, 1), ((-0-1j), -1, -1j, -1), (1j, 1, 1, -1j), (1j, 1j, -1, -1))
dts=8 (1, (1+0j), (1+0j), (1+0j)) [[1, 1, 1, 1], (-1, 1, 1, 1), (1, 1, -1, -1), (1, 1, 1, -1)] ((1, 1, 1, 1), ((-0-1j), -1, -1j, -1), (1j, 1, 1, 1j), (1j, 1j, 1, -1))
